SELECTED COLUMNS;
AMOUNT_REQ
Activity_O_SENT_BACK-COMPLETE
Activity_W_Valideren aanvraag-SCHEDULE
Activity_W_Valideren aanvraag-START
Classification
----------------;
LENGHT;NUMBEROFSAMPLES;ROC_AUC_SCORE
1;937;0.5
2;937;0.5
3;937;0.5
4;937;0.5
5;937;0.5
6;937;0.5
7;937;0.5
8;937;0.5
9;937;0.5
10;937;0.5
11;937;0.5
12;937;0.5
13;937;0.5
14;937;0.5
15;937;0.5
16;937;0.5
17;916;0.5
18;915;0.5
19;897;0.5
20;895;0.5
21;872;0.5
22;864;0.5
23;830;0.5
24;814;0.5
25;770;0.5
26;752;0.5
27;706;0.5
28;686;0.5
29;642;0.5
30;618;0.5
31;582;0.5
32;547;0.5
33;509;0.5
34;483;0.5
35;452;0.5
36;424;0.5
37;399;0.5
38;382;0.5
39;353;0.5
40;337;0.5
ROC_AUC_SCORE weighted;0.5;
F1_SCORE weighted;0.05665026706042615;
